Metabolite_name	RefMet_name	CRA002	CRA004	CRA008	CRA009	CRA010	CRA013	CRA014	CRA019	CRA022	CRA023	CRA026	CRA027	CRA033	CRA036	CRA001	CRA003	CRA005	CRA006	CRA007	CRA011	CRA012	CRA015	CRA016	CRA017	CRA018	CRA020	CRA021	CRA024	CRA025	CRA028	CRA029	CRA030	CRA031	CRA032	CRA034	CRA035	CRA037	CRC001	CRC003	CRC004	CRC005	CRC007	CRC008	CRC011	CRC012	CRC014	CRC015	CRC019	CRC023	CRC025	CRC026	CRC027	CRC031	CRC002	CRC006	CRC009	CRC010	CRC013	CRC016	CRC017	CRC018	CRC020	CRC021	CRC022	CRC024	CRC028	CRC029	CRC030	CRC032	CRC033	CRC034	CRC035	HC001	HC002	HC003	HC004	HC006	HC009	HC012	HC015	HC016	HC017	HC018	HC019	HC020	HC021	HC024	HC025	HC026	HC027	HC005	HC007	HC008	HC010	HC011	HC013	HC014	HC022	HC023	HC028	HC029	HC030
TG(10:0_12:0_14:0)	TG 10:0_12:0_14:0	11218	20322	5491.8000	21024	22580	20418	4250.3000	128600	10841	46668	22187	13766	39354	14946	16167	17421	20216	16045	8208.6000	25486	51515	17125	38110	12670	12071	28073	20638	13945	13960	23622	3125.2000	17667	5994.6000	19155	21435	10829	12176	31372	24100	22718	44225	38642	121660	32332	67463	90217	52196	32939	36628	8287.3000	33892	18713	16432	45066	61461	43737	42752	76751	30439	33670	51009	31542	23696	41430	36552	69453000	21136	27183	98317	16957	13392	31739	12708	34555	17360	26798	81242	3982	33084	23042	5996200	43858	98402	1139300	48217	26572	26439	28885	32398	363600	25894	39684	24679	45504	5485	10543	39530	50730	125250	32282	58907	18252
TG(10:0_12:0_18:1)	TG 10:0_12:0_18:1	1642.3000	8036.1000	4745.2000	5416.9000	10225	13981	20245	47614	5794.1000	27564	11681	1250	1939.6000	4859.5000	2792.1000	3909.4000	8930.7000	4389.9000	4950.1000	11470	13153	8233.7000	6567.8000	5250.6000	6968.8000	9393.6000	14555	4431.1000	7023.4000	14361	6501.6000	2478.8000	8389.9000	1212	7112.2000	1174	6530.2000	5099.1000	9236.6000	13732	7176.8000	9530	39828	6667.2000	27103	33335	17315	9815.4000	12548	1245.6000	3931.8000	5836.1000	4063.8000	32288	10155	7530.1000	10229	103360	6007.3000	11658	14476	15325	5159.6000	14176	7704.1000	20049000	2077.1000	11964	30410	6696.2000	13378	5463.9000	9054.9000	6133	4135	8975	23236	1199.5000	3127.1000	9490.3000	1031600	1615.6000	106020	335520	14804	6254.1000	18827	3699.3000	20540	124820	9864.7000	10220	5449.9000	15596	2336.5000	3325.7000	27713	25297	39198	10985	12648	4742
TG(10:0_14:0_16:0)	TG 10:0_14:0_16:0	81728	54685	141500	50605	61986	27911	47426	35543	77264	118980	62133	43936	30460	55136	89201	49739	41652	30399	49361	36871	129900	65793	93934	33325	61877	169910	112820	49298	50483	81149	27123	55530	53640	59065	21085	30366	7286.9000	99128	74523	79083	141770	117110	374340	57453	136410	289050	201860	130950	123730	64566	89386	82451	74432	219400	171870	135390	84149	611170	92376	85114	118910	80100	1531700	266280	27512	118950000	109570	68761	201880	52459	47440	92229	51138	270760	67676	54957	475160	43334	62891	36889	9431200	96630	272810	3645600	143110	85505	82921	157910	67226	673300	372130	137440	272960	280310	79997	66230	133760	40389	215170	89979	93279	24187
TG(10:0_16:0_12:0)	TG 10:0_12:0_16:0	254150	138600	334370	270240	171500	300300	112280	152800	158790	590670	189930	171270	195030	212980	222460	217980	154490	247630	95512	1344900	393350	182150	395730	134710	189390	308230	146090	141610	239450	190800	171800	139670	200020	180980	172030	134020	153790	316540	301130	402210	681160	323770	1911900	256310	633250	1178200	501490	213000	295450	241610	339330	282070	213340	742580	548560	357790	282710	976080	324570	358580	625800	503970	5134700	660120	211230	394720000	144680	298870	1102400	244580	292320	469260	218550	312240	275270	184320	743780	212490	216700	203630	26154000	331790	441270	10779000	399470	200360	298040	206500	224310	1573400	375010	449950	271120	528280	154890	224890	443440	275540	1070500	272410	361300	201970
TG(10:0_16:0_16:1)	TG 10:0_16:0_16:1	4594.6000	1247	46590	7214.6000	13821	18418	12203	8554.1000	1678.9000	29067	2520	3381.8000	4164.9000	1641.8000	419.7500	3329.1000	14166	1260	10091	4174.2000	3754.5000	61912	7384	5819.7000	3753.9000	4151.7000	28114	2938.4000	7770.3000	22202	2100.4000	840.0900	9	2095.8000	28091	12104	3369.4000	8004.4000	27110	10829	15647	2927.8000	18678	8463.9000	25182	31279	49723	35203	15959	7279.8000	12284	9256.7000	8482.1000	20912	2919.7000	6312.5000	3353.8000	471690	6860.5000	31820	23201	26655	6413.2000	5417.8000	3780	3360900	3346.3000	31055	8014.6000	27196	831.7500	2600.6000	10044	4607.1000	8772.5000	1679.6000	16784	11433	5561.7000	4593.8000	151820	12411	161830	482010	12583	2114.6000	12538	7722	11537	16981	45457	11609	10198	12430	13887	1252.7000	27703	25986	15052	7650	4611.1000	22204
TG(10:0_16:0_18:1)	TG 10:0_16:0_18:1	24917	6055.9000	18533	13310	40173	18724	4374.9000	347030	11809	50674	4350.6000	2624	42990	2204.1000	9845.3000	18745	99338	3072.6000	8288.7000	15743	20928	46008	58473	17086	4391.7000	25125	16172	2122.1000	2383	88726	5212	1303	3942.5000	7427.4000	59051	24699	10419	29682	167620	14262	18049	13037	162890	874.2900	17853	161010	35507	28622	49615	4833.9000	13010	14031	10482	67406	22099	9	1311.5000	2768800	13138	12045	40445	63270	36844	44558	17614	2479500	2619.5000	60748	2936.3000	69884	38214	4357.7000	5259.5000	8701.1000	4767.4000	11397	9874.9000	21984	11804	49878	157210	33941	236620	857400	38419	9	35439	20927	31892	44214	71415	22195	2634	13365	27502	8326.2000	49441	411920	20646	19336	1300	34332
TG(10:0_16:0_18:2)	TG 10:0_16:0_18:2	4312.4000	7043.9000	60768	2539	20996	22928	6718.2000	359830	8676	48964	4738.1000	22232	54055	6520.6000	18060	23639	64706	7146.4000	11411	18180	7126.3000	131300	78942	34905	13757	27857	25683	18483	10062	126200	10995	3778.5000	27143	20854	115890	27073	14530	41866	111640	20212	24340	9780.4000	60929	5261	18797	81973	51031	37685	421010	6556	12229	15595	41115	61658	8821.6000	15869	22282	1124300	11666	64196	55291	46492	50399	18684	17682	3754300	3774.3000	54518	3378.5000	55320	17574	9976.8000	11524	23942	20961	46374	36654	21289	68971	61960	423220	41689	133040	459850	37075	8971.5000	13366	155380	17882	103760	29555	11423	33054	31264	53773	5164.5000	57688	685680	13103	28491	6771.1000	55065
TG(10:0_16:2_18:2)	TG 10:0_16:2_18:2	3228.4000	5139.2000	79967	12817	3595.9000	8791.8000	978.4300	80796	649.5400	78486	1221.9000	1624.4000	2451.1000	1313.9000	12966	12765	7860.5000	2932.2000	1898.6000	324.7100	2149.5000	10534	17301	3594.9000	2919.2000	1266.1000	37553	327.1100	291.9700	57534	2725.6000	6195.8000	1889.7000	4572.1000	2597.9000	1949.7000	3272.3000	67116	34459	1555.7000	13737	346.0900	1641.6000	606.2500	973.0600	8207.3000	637.3000	1951.2000	2506700	909.8900	2284.3000	32978	8883.8000	6427.9000	582.9700	4604.2000	1307.3000	167990	653.1200	7019.6000	96709	46112	55870	4425.4000	2300.1000	154340	2869.4000	7651.5000	1300.2000	29897	1970.3000	2290.7000	10454	6010.1000	243690	25677	4265.3000	53282	1089100	21862	373220	31082	13732	147080	5989.8000	1952.8000	74728	9722.4000	990.0800	130370	53344	7924.7000	4215.3000	36192	39663	6489.9000	31119	814130	1306.9000	4435.4000	2603	4224.7000
TG(10:0_18:1_18:2)	TG 10:0_18:1_18:2	8723.1000	7033.2000	35867	5476.7000	25284	22790	8213.7000	391900	5948.1000	5709.4000	13922	10932	54633	18367	20837	23343	59150	7788.8000	4200.8000	2642	1093.7000	10074	67173	20523	13583	10965	44189	5679.7000	4805.8000	88268	5274.5000	11349	2641	8685.1000	43606	3945.2000	5234	63320	189730	15364	44319	6100.6000	34595	17722	6300	58293	52015	14768	320480	6064.1000	21262	48353	17431	77760	12096	6918.9000	7450.3000	5769500	8192.7000	35969	79750	162380	29246	20285	16135	367330	5264	104950	4762.8000	97629	34058	4378.6000	9863.3000	13182	8758.3000	23555	26052	3067.4000	18586	169070	251770	48627	85115	481560	29183	5686.2000	5253.6000	49663	11878	103890	19538	21972	14282	13939	16663	39007	58213	1671900	2196.3000	27361	14647	36768
TG(12:0_12:0_18:0)	TG 12:0_12:0_18:0	2196.4000	5547.2000	39303	11358	25022	37377	15478	42959	1300.3000	25666	2633.8000	5234.9000	1755.6000	13881	2635	30300	18074	13915	3057.5000	23234000	22669	8227.9000	21844	22644	14782	51440	26718	1293	2196.3000	36540	5699.5000	6434	16894	12571	10050	8293.6000	11870	14799	84119	4828.8000	20629	24582	89975	9499.8000	2586	42306	31596	4820.3000	57134	6594.7000	21653	13790	16129	29409	18520	22066	26190	404360	2419.2000	453380	34383	68554	2830000	181140	1293.5000	28221000	16197	22043	4827.8000	26967	17892	5671.7000	19511	25901	16574	31136	86684	16876	2419.7000	13382	2513400	17918	133880	1752000	34276	9178	17253	18632	17009	108040	14462	18405	35217	46280	9086.8000	3022.2000	54380	39781	32012	43922	27521	5492.1000
